timestamp,q01_spol__musko,q01_spol__zensko,q02_godiste__2004,q02_godiste__2005,q02_godiste__2006,q02_godiste__2007,q02_godiste__2008,q02_godiste__other_selected,q02_godiste__other_text,q03_srednja_skola__matematicka_prirodoslovno_matematicka_gimnazija,q03_srednja_skola__opca_gimnazija,q03_srednja_skola__klasicna_gimnazija,q03_srednja_skola__jezicna_gimnazija,q03_srednja_skola__elektrotehnicka_skola,q03_srednja_skola__strukovna_skola_s_fizikom,q03_srednja_skola__strukovna_skola_bez_fizike,q03_srednja_skola__other_selected,q03_srednja_skola__other_text,q04_godine_fizike,q05_prosjek_srednja_skola__matematika,q05_prosjek_srednja_skola__fizika,q06_godina_zavrsetka_srednje,q07_godina_mature,q08_uspjeh_matura__matematika_niza_razina,q08_uspjeh_matura__matematika_visa_razina,q08_uspjeh_matura__fizika,q09_fakultet__ferit_preddiplomski_sveucilisni_eit,q09_fakultet__ferit_preddiplomski_sveucilisni_racunarstvo,q09_fakultet__ferit_preddiplomski_strucni_elektrotehnika,q09_fakultet__ferit_preddiplomski_strucni_racunarstvo,q09_fakultet__of,q09_fakultet__om,q09_fakultet__gf,q09_fakultet__ptf,q10_prvi_izbor_fakulteta,q11_motivacija_upis__dobro_matematicko_znanje,q11_motivacija_upis__praktican_rad,q11_motivacija_upis__racunalo_programiranje,q11_motivacija_upis__okolina_inzenjerska_zanimanja,q11_motivacija_upis__inzenjerska_zanimanja_cijenjena,q11_motivacija_upis__eksperimenti_u_obrazovanju,q11_motivacija_upis__prijatelji_tehnicki_fakulteti,q11_motivacija_upis__nagovor_roditelja,q11_motivacija_upis__other_selected,q11_motivacija_upis__other_text,q12_stav_01,q13_stav_01_obrazlozenje,q13_stav_01_obrazlozenje__char_count,q13_stav_01_obrazlozenje__word_count,q14_stav_02,q15_stav_03,q16_stav_03_obrazlozenje,q16_stav_03_obrazlozenje__char_count,q16_stav_03_obrazlozenje__word_count,q17_stav_04,q18_stav_05,q19_stav_05_obrazlozenje,q19_stav_05_obrazlozenje__char_count,q19_stav_05_obrazlozenje__word_count,q20_stav_06,q21_stav_07,q22_stav_08,q23_stav_09,q24_stav_10,q25_stav_11,q26_stav_11_obrazlozenje,q26_stav_11_obrazlozenje__char_count,q26_stav_11_obrazlozenje__word_count,q27_stav_12,q28_stav_12_obrazlozenje,q28_stav_12_obrazlozenje__char_count,q28_stav_12_obrazlozenje__word_count,q29_stav_13,q30_stav_14,q31_stav_15,q32_stav_15_obrazlozenje,q32_stav_15_obrazlozenje__char_count,q32_stav_15_obrazlozenje__word_count,q33_stav_16,q34_stav_17,q35_stav_18,q36_stav_18_obrazlozenje,q36_stav_18_obrazlozenje__char_count,q36_stav_18_obrazlozenje__word_count,q37_stav_19,q38_stav_20,q39_stav_21,q40_stav_22,q41_stav_23,q42_stav_24,q43_stav_25,q44_stav_26,q45_stav_27,q46_stav_28,q47_stav_29,q48_stav_30,q49_stav_30_obrazlozenje,q49_stav_30_obrazlozenje__char_count,q49_stav_30_obrazlozenje__word_count,q50_stav_31,q51_koncept_32__a,q51_koncept_32__b,q51_koncept_32__c,q51_koncept_32__d,q51_koncept_32__e,q52_koncept_33__a,q52_koncept_33__b,q52_koncept_33__c,q52_koncept_33__d,q52_koncept_33__e,q53_attention_check,q54_z1_odgovor__a,q54_z1_odgovor__b,q54_z1_odgovor__c,q54_z1_odgovor__d,q54_z1_odgovor__e,q55_z1_sigurnost_odgovor,q56_z1_obrazlozenje__i,q56_z1_obrazlozenje__ii,q56_z1_obrazlozenje__iii,q56_z1_obrazlozenje__iv,q56_z1_obrazlozenje__v,q56_z1_obrazlozenje__other_selected,q56_z1_obrazlozenje__other_text,q57_z1_sigurnost_obrazlozenje,q58_z2_odgovor__a,q58_z2_odgovor__b,q58_z2_odgovor__c,q58_z2_odgovor__d,q58_z2_odgovor__e,q59_z2_sigurnost_odgovor,q60_z2_obrazlozenje__i,q60_z2_obrazlozenje__ii,q60_z2_obrazlozenje__iii,q60_z2_obrazlozenje__iv,q60_z2_obrazlozenje__v,q60_z2_obrazlozenje__other_selected,q60_z2_obrazlozenje__other_text,q61_z2_sigurnost_obrazlozenje,q62_z3_odgovor__a,q62_z3_odgovor__b,q62_z3_odgovor__c,q62_z3_odgovor__d,q62_z3_odgovor__e,q63_z3_sigurnost_odgovor,q64_z3_obrazlozenje__i,q64_z3_obrazlozenje__ii,q64_z3_obrazlozenje__iii,q64_z3_obrazlozenje__iv,q64_z3_obrazlozenje__v,q64_z3_obrazlozenje__other_selected,q64_z3_obrazlozenje__other_text,q65_z3_sigurnost_obrazlozenje,q66_z4_odgovor__a,q66_z4_odgovor__b,q66_z4_odgovor__c,q66_z4_odgovor__d,q66_z4_odgovor__e,q67_z4_sigurnost_odgovor,q68_z4_obrazlozenje__i,q68_z4_obrazlozenje__ii,q68_z4_obrazlozenje__iii,q68_z4_obrazlozenje__iv,q68_z4_obrazlozenje__v,q68_z4_obrazlozenje__other_selected,q68_z4_obrazlozenje__other_text,q69_z4_sigurnost_obrazlozenje,aaps_01_aligned,aaps_02_aligned,aaps_03_aligned,aaps_04_aligned,aaps_05_aligned,aaps_06_aligned,aaps_07_aligned,aaps_08_aligned,aaps_09_aligned,aaps_10_aligned,aaps_11_aligned,aaps_12_aligned,aaps_13_aligned,aaps_14_aligned,aaps_15_aligned,aaps_16_aligned,aaps_17_aligned,aaps_18_aligned,aaps_19_aligned,aaps_20_aligned,aaps_21_aligned,aaps_22_aligned,aaps_23_aligned,aaps_24_aligned,aaps_25_aligned,aaps_26_aligned,aaps_27_aligned,aaps_28_aligned,aaps_29_aligned,aaps_30_aligned,aaps_31_aligned,aaps_32_aligned,aaps_33_aligned,kat1_alignment,kat1_alignment_percent,kat2_alignment,kat2_alignment_percent,kat3_alignment,kat3_alignment_percent,aaps_total_alignment,aaps_total_alignment_percent,z1_answer_correct,z1_reasoning_correct,z1_both_correct,z2_answer_correct,z2_reasoning_correct,z2_both_correct,z3_answer_correct,z3_reasoning_correct,z3_both_correct,z4_answer_correct,z4_reasoning_correct,z4_both_correct,concept_answer_score_total,concept_reasoning_score_total,concept_both_score_total
18.3.2026. 11:21:44,1,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,1,"Strukovnu školu (strojarsku, građevinsku, medicinsku, …)",2,4.0,2.0,2024.0,2024.0,,2.0,,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,Pokazujem sklonost prema praktičnom radu (izrađujem makete | jednostavne uređaje | spretno koristim različite mjerne instrumente | mogu obavljati različite kućne popravke | ...)),3,"Neutralan sam na ovu izjavu, uvijek je potrebno pregledati materijale koji su pridruzeni manje vise svakom kolegiju. Ukoliko i tad nije jasno tek onda trazimo pomoc od profesora.",178,28,5,5,Postoje velicine koje nemozemo dobi to direktnim mjerenjem ili je jednostavno to nije izracunati ih stoga jeracunanje jako bitna stavka.,136,20,5,4,"Vecinski tocno, smatram da je veliki broj formula koje koristimo jednostavno no ponekad dodu i kompliciranije jer naravno nekad stupamo u druge sfere fizike ",157,24,5,5,3,5,5,3,Radi provjere. ,15,2,5,"Fizika je laicki receno promatranje dogadanja u prirodi, samim tim logicno je da svaka formula i jednandzba odgovara na jednu specificnu situaciju ",147,22,3,4,4,"Nacrtati skicu i nadodavati naknadno paralelno uz vrsenje pokusa, laksa organizacija biljeski i snalazenje u istim.",115,16,3,4,4,"Cisto zbog lakse organizacije biljeski, po skici se lakse sjetiti koji je pokus u pitanju nego citati puni zadatak ",115,19,5,5,5,5,2,3,5,5,3,3,4,3,Neutralan,9,1,3,1,0,0,0,0,0,0,1,0,0,4,0,0,1,0,0,5,0,0,0,1,0,0,,5,0,0,1,0,0,3,1,0,0,0,0,0,,2,0,0,1,0,0,4,0,0,1,0,0,0,,3,0,0,1,0,0,1,0,0,1,0,0,0,,1,0,1,0,1,0,1,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0.6842105263157895,68.42105263157895,0.5714285714285714,57.14285714285714,0.4,40.0,0.5757575757575758,57.57575757575758,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0
18.3.2026. 11:25:17,1,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,1,Elektrotehničku školu,4,2.0,2.0,2025.0,2025.0,,2.0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Dobro poznajem i zanima me računalo (dobro poznajem programiranje | u mogućnosti sam prilično samostalno nadograditi i popraviti software i hardware računala | ...),3,"Pomoć nastavnika ili asistenta dobro dođe u slučaju potpune nemogućnosti, no međutim ako je u pitanju nesigurnost konzultacija sa kolegama je prva opcija",153,23,5,3,Fizika je znanost koja je bliska matematici ali je opće razumjevanje poznavanje sila koje djeluju i logičko razmišljanje o postavljenom zadatku,143,21,5,4,Većinu zadataka iz fizike je lakše riješiti ako napravimo skicu te iz nje uočimo kako se sustav ponaša,102,18,5,5,1,3,4,3,Većina formula je intuitivna te je greška u nama što ne razmišljamo dovoljno o postavljenom zadatku te potom ne razumijemo odnos određenih veličina i mjera,155,25,2,"Jednadžbe u fizici su uistinu fleksibilne, ako upotrebimo jednu formulu za određenu situaciju to ne znači da ju ne možemo primjeniti u nekim drugim situacijama.",160,25,3,5,5,Skica nam olakšava razumijevanje odnosa pojedinih sila kao i veličina koje utječu jedne na druge pa je znatno lakše riješiti zadatak koristeći skicu,148,23,2,4,5,Olakšavaju odluku te je lakše procesom eliminacije doći do riješenja umjesto da nasumično zaokružujemo,102,14,3,2,5,2,1,5,5,2,3,5,4,4,Lako sr pogubiti među simbolima i veoma lako dolazi do greške u uvrštavanju jer zamjenimo neke veličine drugima i dobijemo potpuno drugačije riješenje,150,23,3,0,0,0,1,0,0,0,1,0,0,4,0,1,0,0,0,4,0,0,0,0,1,0,,5,0,0,0,1,0,4,0,0,0,1,0,0,,2,0,0,1,0,0,5,0,0,0,0,1,0,,5,1,0,0,0,0,5,0,1,0,0,0,0,,5,0,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0.631578947368421,63.1578947368421,0.47619047619047616,47.61904761904761,0.4,40.0,0.5454545454545454,54.54545454545454,0,1,0,0,0,0,1,1,1,0,0,0,1,2,1
18.3.2026. 11:26:11,1,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,1,Opću gimnaziju,4,3.0,3.0,2025.0,2025.0,,2.0,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,Ljudi ili bližoj okolini imam ljude inženjerskih zanimanja,4,"Mogu na svoj način započeti, ali ubrzo postanem nesiguran ili se izgubim kada mislim da ne idem u pravom smjeru te bi odma tražio pomoć da ne trošim vrijeme.",157,29,3,5,Mislim ako ne znamo riješiti same matematičke izraze vezane uz fiziku da jednostavno neće biti točan ostatak zadatka ili baš cjeloviti zadatak.,143,22,5,4,Većinu vremena smo se koristili formulama te uvrštavali u njih ili se nadovezivali na druge formule pa uvrštavali.,114,18,2,5,2,3,5,3,"Nisam skroz shvatio, ali uglavnom mi je pristup za zadatke bio da uvrštavam u formule i jednadžbe.",98,17,4,"Postoji dosta općenitih jednadžbi, ali čini mi se i da ima puno specifićnih za određene pojave.",95,16,4,3,5,Puno lakše mi je postupiti ako uz sve imam i vizualni dojam o samom zadatku te mi zna pomoći.,93,19,3,5,5,"Ponekad dodatne skicu pomognu da nešto shvatim, a ujedno bi i očekivao dodatne bodove ili da postoji dojam da razumijem gradivo.",128,21,5,5,5,5,2,5,5,5,1,4,5,3,Lakše mi je odma baratati s brojevima i izračunati ih kada god imam priliku da ih primjenim.,92,17,3,0,0,0,1,0,0,0,0,1,0,4,0,0,0,0,1,4,0,0,0,0,1,0,,3,0,0,0,1,0,2,0,1,0,0,0,0,,1,1,0,0,0,0,3,1,0,0,0,0,0,,3,1,0,0,0,0,3,0,1,0,0,0,0,,3,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0.5263157894736842,52.63157894736842,0.6666666666666666,66.66666666666666,0.7,70.0,0.5454545454545454,54.54545454545454,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0
18.3.2026. 11:26:43,1,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,1,Elektrotehničku školu,4,3.0,5.0,2025.0,2025.0,,2.0,2.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,Pokazujem sklonost prema praktičnom radu (izrađujem makete | jednostavne uređaje | spretno koristim različite mjerne instrumente | mogu obavljati različite kućne popravke | ...)) | Smatram da su inženjerska zanimanja vrlo cijenjena (dobra plaća | velika mogućnost profesionalnog usavršavanja | ...) | Tijekom dosadašnjeg obrazovanja često smo u suradnji s nastavnicima obavljali i osmišljavali zanimljive eksperimente iz fizike i drugih predmeta iz STEM područja,3,"Mogu probati sam započeti, ali ukoliko neznam dalje onda pozovem profesora ili asistenta.",89,13,5,4,Matrmatika je alat za fiziku,28,5,5,5,Slažem se,9,2,1,4,1,4,5,1,Jednadžbe se trebaju proučiti jer će rezultat ovisiti o tome kako ju proučimo,77,13,5,Slažem se,9,2,4,4,5,Lakše je rješavati zadatke ako nacrtam skicu jer mogu vidjeti što se kako računa,80,14,5,5,1,Necrtam ukoliko netreba,23,3,5,4,5,3,5,5,4,4,3,5,4,5,Lakše mi je rješavati s brojevima nego sa simbolima ,52,9,1,1,0,0,0,0,0,0,1,0,0,4,0,0,1,0,0,5,0,0,0,1,0,0,,5,0,0,0,1,0,3,0,1,0,0,0,0,,3,0,0,1,0,0,4,0,0,0,0,1,0,,4,1,0,0,0,0,4,0,0,1,0,0,0,,3,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,1,0,0,1,0,0.631578947368421,63.1578947368421,0.6666666666666666,66.66666666666666,0.5,50.0,0.6060606060606061,60.60606060606061,1,0,0,0,1,0,1,1,1,0,0,0,2,2,1
18.3.2026. 11:26:58,1,0,0,0,0,0,0,1,1999.0,0,0,0,0,0,0,0,1,Jezičnu gimnaziju,4,2.0,2.0,2018.0,2019.0,,2.0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Smatram da su inženjerska zanimanja vrlo cijenjena (dobra plaća | velika mogućnost profesionalnog usavršavanja | ...),2,"Ako nemam dovoljno dobro predznanje o nekoj temi ili problemu, nije mi problem pitati nekoga za pomoc u pocetku.",112,19,3,2,"U vecini slucajeva, prakticnih slucajeva kao sto radimo u labaratorijskim eksperimentima vise je bitno napraviti tocna i precizna mjerenja, jer ako nam mjerenja nisu tocna i precizna, to ce nam matematicke formule prikazati. Tako da matematicki dio nam sluzi vise kao neki alat.",278,43,4,4,"Kombinacija teorije sa matematickim dijelom ide jedno uz drugo. Ako imamo dobro teorijsko znanje o temi ili problemu koji radimo, vrlo lako mozemo iz brojcane vrijednosti zakljuciti.",182,27,4,2,3,4,3,4,"Jednadzbe su tu da nam daju brojcanu vrijednost na kraju, ali isto tako nam daju ovisnost odredenih dijelova jednadzbe.",119,19,3,Ovisi. Neke jednadzbe imaju veze s nekim drugim fizikalnim svojstvima. Npr kosi hitac koristi kombinaciju dvije jednadzbe.,122,17,2,3,4,"Posebice kod primjera elektrotehnike ili elektronike, ali i u fizici, jako je korisno, a nekad i nuzno da se napravi skica sklopa ili nekog gibanja da bi razumjeli i vizualno vidjeli sta nam se dogada i o cemu ovisi konacni rezultat.",233,41,3,4,1,"Ako nema potrebe za skicom, necu je raditi.",43,8,4,2,4,4,1,1,4,3,4,4,4,4,"Brojke su nam blize, mislim da nam je brojke vise “znace” nego simboli.",71,13,1,0,1,0,0,0,0,0,1,0,0,4,0,0,0,1,0,4,0,0,0,0,1,0,,4,0,0,1,0,0,4,0,0,0,1,0,0,,3,0,0,1,0,0,3,0,0,0,0,1,0,,3,1,0,0,0,0,4,0,1,0,0,0,0,,4,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,1,0,1,1,1,0,0,1,0,0.3684210526315789,36.84210526315789,0.47619047619047616,47.61904761904761,0.6,60.0,0.48484848484848486,48.484848484848484,0,1,0,0,0,0,1,1,1,0,0,0,1,2,1
18.3.2026. 11:28:25,0,1,0,0,1,0,0,0,,0,0,0,0,0,0,0,1,"Strukovnu školu (strojarsku, građevinsku, medicinsku, …)",4,3.0,4.0,2025.0,2025.0,,2.0,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Dobro poznajem i zanima me računalo (dobro poznajem programiranje | u mogućnosti sam prilično samostalno nadograditi i popraviti software i hardware računala | ...) | Smatram da su inženjerska zanimanja vrlo cijenjena (dobra plaća | velika mogućnost profesionalnog usavršavanja | ...),3,Zavisi o složenosti zadataka,28,4,3,4,.,1,1,5,3,.,1,1,1,3,1,3,4,4,Ovisi o tipu zadatka,20,4,3,Zavisi ,7,1,4,2,5,Iz skice je lakše uočiti kako riješiti zadatak,46,8,4,2,3,Zavisi do tipa zadatka,22,4,2,1,3,2,2,1,4,2,1,4,3,5,Kod složenijih jednadžbi teže je riješiti pomoću simbola,56,8,1,0,1,0,0,0,0,0,1,0,0,4,0,1,0,0,0,4,0,0,0,0,1,0,,3,0,0,0,1,0,2,0,1,0,0,0,0,,3,1,0,0,0,0,3,1,0,0,0,0,0,,3,1,0,0,0,0,3,0,1,0,0,0,0,,3,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0.2631578947368421,26.31578947368421,0.2857142857142857,28.57142857142857,0.3,30.0,0.2727272727272727,27.27272727272727,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0
18.3.2026. 11:29:27,1,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,1,Elektrotehničku školu,2,4.0,3.0,,2025.0,,2.0,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Smatram da su inženjerska zanimanja vrlo cijenjena (dobra plaća | velika mogućnost profesionalnog usavršavanja | ...),3,Prvo bi se osvrnuo na formule pa pomoću njih bi pokušao pronaći riješenje ako mi to nebi pomoglo pitao bih za pomoć,115,22,3,4,Ukoliko trebamo izračunati nešto postoji mogučnost da treba izvesti formulu a za to je potrebna matematika,106,16,3,5,Te također i utvrđivanje veličina te mjernih jedinica,53,8,2,4,3,3,2,5,Kad koristim jednadžbe nikad nerazmišljam što svaki zasebni element u jednadžbi zapravo predstavlja,99,13,4,Postoje formule koje opisuju svaku granu fizike također se ne koriste formule iz dinamike u statici,99,16,5,3,5,Pomoću skice je puno lakše odrediti smijer djelovanja neke sile nego da to pokušavam sam iščitati iz zadatka,108,18,4,5,2,Skice je potrebo crtati ako nam je tako lakše odrediti nešto tako da time samo sebi olakšavamo zadatak,102,18,2,2,4,3,3,4,4,4,2,5,4,3,Ne predstavlja mi to veliku razliku,35,6,3,0,0,1,0,0,0,1,0,0,0,4,0,0,0,0,1,3,1,0,0,0,0,0,,3,0,0,0,1,0,4,0,0,1,0,0,0,,4,1,0,0,0,0,5,1,0,0,0,0,0,,5,1,0,0,0,0,3,0,0,1,0,0,0,,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,1,0.3157894736842105,31.57894736842105,0.47619047619047616,47.61904761904761,0.4,40.0,0.3333333333333333,33.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.3.2026. 11:29:33,1,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,1,"Matematičku, prirodoslovno-matematičku gimnaziju",4,5.0,5.0,2025.0,2025.0,5.0,5.0,5.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,Pokazujem sklonost prema praktičnom radu (izrađujem makete | jednostavne uređaje | spretno koristim različite mjerne instrumente | mogu obavljati različite kućne popravke | ...)) | Dobro poznajem i zanima me računalo (dobro poznajem programiranje | u mogućnosti sam prilično samostalno nadograditi i popraviti software i hardware računala | ...),1,smatram da sukladno sa svojim kognitivnim sposobnostima  sam u mogućnosti samostalno obaviti/riješiti zadane ishode te jasno i kongruentno elaborirati te predočiti rješenje  ,174,22,1,4,"matematika je podloga svih prirodnih znanosti, sukladno tome proizlazi navedeni odabir gore naveden",99,13,5,3,Jasnoća i razumijevanje teorijske podloge jednako je važno kao i matematičko predočavanje problema ,99,13,5,5,1,3,5,1,Bez teorijske podloge nije moguće riješiti i razumjeti problem koje je izložen rješavanju.,90,13,3,"mikroskopski i mikroskopski uvjeti nisu isti za zadani problem, stvar je perspektivne i subjektivno-objektivne okolnosti ",121,15,3,4,5,"Predočaj na papiru je lakše razumjeti nego se igrati ""teorijske fizike """,72,12,1,1,4,Razlog je naveden u komentaru iznad.,36,6,2,5,5,4,1,1,4,5,3,5,4,3,simboli predstavljaju vrijednosti tako da dođe na isto,54,8,5,0,1,0,0,0,0,0,1,0,0,4,0,0,1,0,0,5,0,0,0,1,0,0,,5,0,0,0,1,0,5,0,0,0,0,1,0,,5,0,0,1,0,0,5,0,0,0,0,1,0,,5,1,0,0,0,0,5,0,1,0,0,0,0,,5,1,0,0,1,0,1,1,1,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0.6842105263157895,68.42105263157895,0.6666666666666666,66.66666666666666,0.6,60.0,0.6363636363636364,63.63636363636363,1,0,0,0,0,0,1,1,1,0,0,0,2,1,1
18.3.2026. 11:29:34,1,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,1,Elektrotehničku školu,2,2.0,2.0,2025.0,2025.0,,2.0,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Smatram da su inženjerska zanimanja vrlo cijenjena (dobra plaća | velika mogućnost profesionalnog usavršavanja | ...),3,Ovisi o težini zadatka ako je nešto što smatram jednostavnijim onda jednostavno moram sam uspijet,97,15,3,2,Treba poznavati fizička svojstva i teoriju ,43,6,4,2,Znači poznavanje toga što riješavamo,36,5,3,4,2,2,4,2,Treba ih razumjeti u slučaju da dođe do nekih promjena ,55,10,2,Dosta njih se mogu i u drugim situacijama koristit,50,9,4,3,4,Lakše mi je vizualizirati,25,4,3,3,4,Moj način razmišljanja je takav ,32,5,3,4,3,4,2,3,4,4,4,2,4,4,Lakše se pogubit,16,3,2,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,1,4,0,1,0,0,0,0,,3,0,0,0,1,0,3,0,0,0,1,0,0,,4,1,0,0,0,0,4,1,0,0,0,0,0,,4,1,0,0,0,0,4,0,1,0,0,0,0,,3,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0.5789473684210527,57.89473684210527,0.5238095238095238,52.38095238095239,0.6,60.0,0.5454545454545454,54.54545454545454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.3.2026. 11:29:59,1,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,1,"Matematičku, prirodoslovno-matematičku gimnaziju",4,3.0,3.0,2025.0,2025.0,,2.0,,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,Pokazujem sklonost prema praktičnom radu (izrađujem makete | jednostavne uređaje | spretno koristim različite mjerne instrumente | mogu obavljati različite kućne popravke | ...)) | Smatram da su inženjerska zanimanja vrlo cijenjena (dobra plaća | velika mogućnost profesionalnog usavršavanja | ...),3,"Sve zavisi šta je u pitanju, kakav tip zadatak to jest problema. U nekim slučajem sam dolazim do rješenja pomoću drugih načina i tako pokušava riješiti zadatak.",160,27,3,4,Prvo treba znati postaviti zadatak i razumijeti ga. Te onda uz pomoć formula i znanjem matematike se formule prilagođavaju zadatku to jest problemu.,148,23,4,5,Naravno zadatak koji imamo rješava se na način da se nađu formule koje su općenite i sa matematičkim znanjima formule prilagođavamo te na kraju uvrštavamo vrijednosti koje imamo. ,179,28,3,4,2,3,4,3,"Formule treba dobro razumijeti, iz razloga što kad razumijemo formulu lakše možemo baratati s njom u svim zadacima takvih tipova.",129,20,2,"Fizikalne formule su općenito vrlo šture to jest formule su napisane na način da obuhvačaju više stvari. Postoje formule koje su napisane za neku situaciju, ali opet na način da je opčenito napisana, te ju mi prilagođavamo zadatku.",231,38,4,3,4,Zbog toga što kad nacrtam skicu nekog zadatka imam vizualni pristup tome kako nešto izgleda ili u kakvom je odnosu sa drugim.,125,22,3,3,3,Zbog predodžbe o samom zadatku,30,5,3,2,3,3,2,3,4,3,2,4,4,4,"Jer kod simbola moraš paziti na upis i na simbol koji šta znači, dok kod brojeva samo pišeš poznate vrijednosti.",112,20,2,0,1,0,0,0,0,1,0,0,0,4,0,0,0,0,1,4,0,0,0,0,1,0,,3,0,1,0,0,0,3,0,1,0,0,0,0,,3,1,0,0,0,0,4,1,0,0,0,0,0,,4,1,0,0,0,0,4,1,0,0,0,0,0,,3,0,0,0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0.47368421052631576,47.368421052631575,0.38095238095238093,38.095238095238095,0.4,40.0,0.3939393939393939,39.39393939393939,0,1,0,1,1,1,0,0,0,0,0,0,1,2,1
